material,P_W,v_mm_per_s,melt_width_um,melt_depth_um
Ti64,200.0,1700.0,177.9534,65.3947
Ti64,200.0,1300.0,135.2337,141.492
Ti64,200.0,1350.0,137.3198,145.5735
Ti64,200.0,1400.0,118.9077,121.6287
Ti64,200.0,1450.0,130.3359,105.6655
Ti64,200.0,1500.0,139.0431,109.747
Ti64,200.0,1550.0,130.0638,87.7069
Ti64,200.0,1600.0,137.4105,112.3773
Ti64,200.0,1650.0,134.6895,95.235
Ti64,200.0,1700.0,135.7779,102.0375
Ti64,200.0,1300.0,130.608,105.5748
Ti64,200.0,1350.0,144.4851,124.7125
Ti64,200.0,1400.0,144.7572,108.2958
Ti64,200.0,1450.0,111.2889,122.7171
Ti64,200.0,1500.0,138.2268,134.9616
Ti64,200.0,1550.0,129.5196,127.3428
Ti64,200.0,1600.0,118.9077,105.6655
Ti64,200.0,1650.0,135.5058,68.5692
Ti64,200.0,1700.0,132.6034,101.0398
Ti64,200.0,1300.0,167.3415,128.4312
Ti64,200.0,1350.0,153.7365,149.4736
Ti64,200.0,1400.0,126.5265,98.0467
Ti64,200.0,1450.0,108.2958,97.8653
Ti64,200.0,1500.0,149.4736,95.5071
Ti64,200.0,1550.0,162.7158,102.3096
Ti64,200.0,1600.0,145.4828,129.3382
Ti64,200.0,1650.0,129.8824,117.2751
Ti64,200.0,1700.0,130.608,80.8137
Ti64,200.0,1300.0,148.8387,139.5873
Ti64,200.0,1350.0,135.2337,136.3221
Ti64,200.0,1400.0,147.4782,135.3244
Ti64,200.0,1450.0,113.5564,104.4864
Ti64,200.0,1500.0,128.7033,125.7102
Ti64,200.0,1550.0,135.2337,91.1535
Ti64,200.0,1600.0,144.4851,74.8275
Ti64,200.0,1650.0,138.2268,84.7138
Ti64,200.0,1700.0,134.9616,104.7585
Ti64,200.0,1300.0,136.05,135.7779
Ti64,200.0,1350.0,151.1969,133.0569
Ti64,200.0,1400.0,122.9892,115.0983
Ti64,200.0,1450.0,122.9892,99.8607
Ti64,200.0,1500.0,110.654,100.9491
Ti64,200.0,1550.0,129.7917,106.6632
Ti64,200.0,1600.0,141.492,79.5439
Ti64,200.0,1650.0,145.5735,71.0181
Ti64,200.0,1700.0,136.05,66.6645
Ti64,200.0,1300.0,131.4243,145.5735
Ti64,200.0,1350.0,134.4174,132.6034
Ti64,200.0,1400.0,135.2337,124.6218
Ti64,200.0,1450.0,127.887,118.0914
Ti64,200.0,1500.0,142.8525,85.7115
Ti64,200.0,1550.0,136.8663,96.3234
Ti64,200.0,1600.0,130.3359,73.7391
Ti64,200.0,1650.0,131.6964,74.8275
Ti64,200.0,1700.0,137.1384,104.4864
Ti64,200.0,1300.0,158.0901,157.2738
Ti64,200.0,1350.0,140.6757,165.4368
Ti64,200.0,1400.0,123.5334,145.3014
Ti64,200.0,1450.0,130.0638,140.9478
Ti64,200.0,1500.0,137.4105,135.2337
Ti64,200.0,1550.0,136.6849,97.6839
Ti64,200.0,1600.0,151.0155,81.63
Ti64,200.0,1650.0,143.1246,130.6987
Ti64,200.0,1700.0,137.2291,96.0513
Ti64,200.0,1300.0,148.5666,50.3385
Ti64,200.0,1350.0,159.7227,39.7266
Ti64,200.0,1400.0,179.3139,46.257
Ti64,200.0,1450.0,184.7559,64.7598
Ti64,200.0,1500.0,152.6481,64.4877
Ti64,200.0,1550.0,154.2807,53.0595
Ti64,200.0,1600.0,187.4769,38.094
Ti64,200.0,1650.0,189.6537,43.8081
Ti64,200.0,1700.0,194.0073,78.6369
Ti64,200.0,1300.0,147.4782,144.4851
Ti64,200.0,1350.0,142.8525,142.5804
Ti64,200.0,1400.0,136.3221,135.2337
Ti64,200.0,1450.0,137.1384,105.5748
Ti64,200.0,1500.0,134.9616,95.7792
Ti64,200.0,1550.0,130.608,88.7046
Ti64,200.0,1600.0,147.7503,86.2557
Ti64,200.0,1650.0,127.887,77.2764
Ti64,200.0,1700.0,131.4243,69.9297
Ti64,200.0,1300.0,146.6619,141.492
Ti64,200.0,1350.0,152.376,154.5528
Ti64,200.0,1400.0,139.8594,159.1785
Ti64,200.0,1450.0,173.4184,134.1453
Ti64,200.0,1500.0,164.6205,110.4726
Ti64,200.0,1550.0,122.9892,124.6218
Ti64,200.0,1600.0,122.7171,126.2544
Ti64,200.0,1650.0,127.3428,53.0595
Ti64,200.0,1700.0,130.608,66.6645
Ti64,200.0,1300.0,177.772,184.121
Ti64,200.0,1350.0,147.7503,167.8857
Ti64,200.0,1400.0,160.0855,172.2393
Ti64,200.0,1450.0,154.0993,142.0362
Ti64,200.0,1500.0,148.4759,124.8939
Ti64,200.0,1550.0,167.6136,118.0914
Ti64,200.0,1600.0,161.0832,106.3911
Ti64,200.0,1650.0,147.6596,106.6632
Ti64,200.0,1700.0,131.9685,77.9113
Ti64,200.0,1300.0,150.4713,112.5587
Ti64,200.0,1350.0,149.655,148.5666
Ti64,200.0,1400.0,144.4851,137.9547
Ti64,200.0,1450.0,140.9478,130.608
Ti64,200.0,1500.0,142.8525,110.2005
Ti64,200.0,1550.0,145.3014,105.1213
Ti64,200.0,1600.0,142.5804,95.235
Ti64,200.0,1650.0,147.4782,88.5232
Ti64,200.0,1700.0,148.5666,81.63
Ti64,200.0,1300.0,154.3714,144.7572
Ti64,200.0,1350.0,136.8663,134.1453
Ti64,200.0,1400.0,151.2876,130.3359
Ti64,200.0,1450.0,126.5265,124.6218
Ti64,200.0,1500.0,126.5265,78.0927
Ti64,200.0,1550.0,133.329,117.8193
Ti64,200.0,1600.0,168.7927,78.0927
Ti64,200.0,1650.0,135.7779,74.8275
Ti64,200.0,1700.0,129.5196,73.8298
Ti64,370.0,1300.0,269.676,283.296
Ti64,370.0,1350.0,261.504,326.88
Ti64,370.0,1400.0,295.554,275.124
Ti64,370.0,1450.0,294.192,276.486
Ti64,370.0,1500.0,290.106,265.59
Ti64,370.0,1550.0,291.922,266.952
Ti64,370.0,1600.0,267.406,228.816
Ti64,370.0,1650.0,276.486,238.35
Ti64,370.0,1700.0,261.504,246.522
Ti64,370.0,1300.0,276.486,276.486
Ti64,370.0,1350.0,256.056,280.572
Ti64,370.0,1400.0,253.786,279.21
Ti64,370.0,1450.0,296.008,257.418
Ti64,370.0,1500.0,282.388,314.622
Ti64,370.0,1550.0,266.498,268.768
Ti64,370.0,1600.0,227.454,261.504
Ti64,370.0,1650.0,265.136,261.504
Ti64,370.0,1700.0,246.976,230.178
Ti64,370.0,1300.0,262.866,171.612
Ti64,370.0,1350.0,256.51,141.648
Ti64,370.0,1400.0,261.504,175.698
Ti64,370.0,1450.0,253.786,114.408
Ti64,370.0,1500.0,262.866,88.53
Ti64,370.0,1550.0,294.192,89.892
Ti64,370.0,1600.0,236.988,129.39
Ti64,370.0,1650.0,227.454,96.702
Ti64,370.0,1700.0,238.804,186.594
Ti64,370.0,1300.0,152.544,133.476
Ti64,370.0,1350.0,277.394,233.356
Ti64,370.0,1400.0,271.038,209.748
Ti64,370.0,1450.0,315.984,152.544
Ti64,370.0,1500.0,275.124,148.458
Ti64,370.0,1550.0,236.988,204.754
Ti64,370.0,1600.0,219.282,177.06
Ti64,370.0,1650.0,236.988,198.852
Ti64,370.0,1700.0,271.038,198.852
Ti64,370.0,1300.0,208.386,156.63
Ti64,370.0,1350.0,219.282,156.63
Ti64,370.0,1400.0,175.244,133.93
