material,P_W,v_mm_per_s,melt_width_um,melt_depth_um
Ti64,370,1300,210.202,193.404
Ti64,370,1350,231.54,166.164
Ti64,370,1400,227.454,140.286
Ti64,370,1450,239.712,148.458
Ti64,370,1500,222.006,70.824
Ti64,370,1550,191.134,113.046
Ti64,370,1600,215.196,104.874
Ti64,370,1650,266.044,108.96
Ti64,370,1700,195.22,113.046
Ti64,370,1300,228.816,181.146
Ti64,370,1350,198.852,184.324
Ti64,370,1400,223.822,112.138
Ti64,370,1450,266.952,93.978
Ti64,370,1500,281.026,80.358
Ti64,370,1550,233.356,62.652
Ti64,370,1600,258.78,147.55
Ti64,370,1650,229.724,133.476
Ti64,370,1700,209.748,136.2
Ti64,370,1300,236.08,208.386
Ti64,370,1350,236.988,162.078
Ti64,370,1400,209.748,166.164
Ti64,370,1450,245.16,179.784
Ti64,370,1500,232.902,156.63
Ti64,370,1550,219.282,140.286
Ti64,370,1600,204.754,95.34
Ti64,370,1650,162.532,70.824
Ti64,370,1700,236.988,68.1
Ti64,370,1300,222.006,211.11
Ti64,370,1350,256.056,231.54
Ti64,370,1400,272.4,162.078
Ti64,370,1450,228.816,174.336
Ti64,370,1500,217.92,179.784
Ti64,370,1550,251.97,165.71
Ti64,370,1600,200.214,129.39
Ti64,370,1650,247.884,117.586
Ti64,370,1700,227.454,99.426
Ti64,370,1300,251.97,251.97
Ti64,370,1350,254.694,264.228
Ti64,370,1400,219.282,220.644
Ti64,370,1450,220.644,224.73
Ti64,370,1500,220.644,200.214
Ti64,370,1550,209.748,183.87
Ti64,370,1600,257.418,198.852
Ti64,370,1650,177.06,168.888
Ti64,370,1700,232.902,145.734
Ti64,370,1300,238.35,236.988
Ti64,370,1350,243.798,260.142
Ti64,370,1400,200.214,217.92
Ti64,370,1450,213.834,178.422
Ti64,370,1500,217.92,209.748
Ti64,370,1550,194.766,227.454
Ti64,370,1600,219.282,214.288
Ti64,370,1650,204.3,204.3
Ti64,370,1700,200.214,148.458
Ti64,370,1300,242.436,175.698
Ti64,370,1350,242.436,160.716
Ti64,370,1400,206.57,133.476
Ti64,370,1450,222.46,101.696
Ti64,370,1500,191.588,71.278
Ti64,370,1550,205.662,96.702
Ti64,370,1600,251.97,99.426
Ti64,370,1650,196.128,133.476
Ti64,370,1700,183.416,100.788
Ti64,370,1300,241.074,147.096
Ti64,370,1350,189.318,100.788
Ti64,370,1400,228.816,108.96
Ti64,370,1450,204.3,76.272
Ti64,370,1500,181.146,69.462
Ti64,370,1550,242.436,95.34
Ti64,370,1600,200.214,93.978
Ti64,370,1650,208.386,128.028
Ti64,370,1700,205.208,80.358
Ti64,370,1300,218.374,114.408
Ti64,370,1350,253.332,69.462
Ti64,370,1400,240.62,141.648
Ti64,370,1450,226.092,159.354
Ti64,370,1500,213.834,166.164
Ti64,370,1550,243.798,143.01
Ti64,370,1600,179.784,78.996
Ti64,370,1650,205.208,143.01
Ti64,370,1700,129.39,107.598
Ti64,370,1300,213.834,175.698
Ti64,370,1350,271.038,81.72
Ti64,370,1400,227.454,99.426
Ti64,370,1450,241.074,100.788
Ti64,370,1500,202.938,65.376
Ti64,370,1550,214.288,57.204
Ti64,370,1600,200.668,91.254
Ti64,370,1650,185.686,42.222
Ti64,370,1700,201.576,72.64
Ti64,370,1300,228.816,220.644
Ti64,370,1350,213.834,156.63
Ti64,370,1400,232.902,181.146
Ti64,370,1450,223.368,133.476
Ti64,370,1500,208.386,152.544
Ti64,370,1550,198.852,121.218
Ti64,370,1600,205.208,66.738
Ti64,370,1650,242.436,51.756
Ti64,370,1700,196.128,66.738
Ti64,370,1300,275.124,209.748
Ti64,370,1350,209.748,179.784
Ti64,370,1400,206.116,142.556
Ti64,370,1450,204.3,141.648
Ti64,370,1500,241.074,175.698
Ti64,370,1550,228.816,111.684
Ti64,370,1600,251.97,152.544
Ti64,370,1650,232.902,108.96
Ti64,370,1700,194.766,100.788
Ti64,370,1300,243.798,277.848
Ti64,370,1350,294.192,213.834
Ti64,370,1400,266.952,219.282
Ti64,370,1450,230.632,210.202
Ti64,370,1500,249.246,213.834
Ti64,370,1550,234.264,205.662
Ti64,370,1600,224.73,190.68
Ti64,370,1650,232.902,182.054
Ti64,370,1700,194.766,139.378
Ti64,370,1300,266.952,281.934
Ti64,370,1350,251.97,261.504
Ti64,370,1400,290.106,295.554
Ti64,370,1450,257.872,242.436
Ti64,370,1500,228.816,228.816
Ti64,370,1550,229.27,194.766
Ti64,370,1600,205.662,157.992
Ti64,370,1650,194.766,162.078
Ti64,370,1700,205.662,157.992
