material,P_W,v_mm_per_s,melt_width_um,melt_depth_um,LED_J_per_mm,norm_width,norm_depth,h_mm,t_mm,VED_J_per_mm3
IN718,100.0,600.0,102.0,52.0,0.16666666666666666,0.3116083266632858,0.04241435562805873,0.11,0.04,37.878787878787875
IN718,100.0,700.0,100.0,63.0,0.14285714285714285,0.3054983594738096,0.05138662316476346,0.11,0.04,32.467532467532465
IN718,100.0,800.0,68.0,23.0,0.125,0.20773888444219055,0.018760195758564437,0.11,0.04,28.40909090909091
IN718,100.0,900.0,64.0,27.0,0.1111111111111111,0.19551895006323816,0.02202283849918434,0.11,0.04,25.252525252525253
IN718,100.0,400.0,140.0,153.0,0.25,0.42769770326333345,0.12479608482871125,0.11,0.04,56.81818181818182
IN718,100.0,500.0,114.0,81.0,0.2,0.348268129800143,0.06606851549755302,0.11,0.04,45.45454545454545
IN718,100.0,600.0,100.0,41.0,0.16666666666666666,0.3054983594738096,0.033442088091353996,0.11,0.04,37.878787878787875
IN718,100.0,700.0,86.0,37.0,0.14285714285714285,0.26272858914747627,0.030179445350734094,0.11,0.04,32.467532467532465
IN718,100.0,800.0,66.0,25.0,0.125,0.20162891725271434,0.020391517128874388,0.11,0.04,28.40909090909091
IN718,100.0,900.0,70.0,23.0,0.1111111111111111,0.21384885163166673,0.018760195758564437,0.11,0.04,25.252525252525253
IN718,100.0,400.0,140.0,148.0,0.25,0.42769770326333345,0.12071778140293637,0.11,0.04,56.81818181818182
IN718,100.0,500.0,100.0,100.0,0.2,0.3054983594738096,0.08156606851549755,0.11,0.04,45.45454545454545
IN718,100.0,600.0,104.0,59.0,0.16666666666666666,0.317718293852762,0.04812398042414356,0.11,0.04,37.878787878787875
IN718,100.0,700.0,78.0,44.0,0.14285714285714285,0.2382887203895715,0.03588907014681892,0.11,0.04,32.467532467532465
IN718,100.0,800.0,60.0,22.0,0.125,0.18329901568428578,0.01794453507340946,0.11,0.04,28.40909090909091
IN718,100.0,900.0,78.0,45.0,0.1111111111111111,0.2382887203895715,0.0367047308319739,0.11,0.04,25.252525252525253
IN718,200.0,400.0,166.0,289.0,0.5,0.507127276726524,0.23572593800978792,0.11,0.04,113.63636363636364
IN718,200.0,500.0,146.0,252.0,0.4,0.44602760483176207,0.20554649265905384,0.11,0.04,90.9090909090909
IN718,200.0,600.0,136.0,205.0,0.3333333333333333,0.4154777688843811,0.16721044045676997,0.11,0.04,75.75757575757575
IN718,200.0,700.0,132.0,206.0,0.2857142857142857,0.4032578345054287,0.16802610114192496,0.11,0.04,64.93506493506493
IN718,200.0,800.0,136.0,178.0,0.25,0.4154777688843811,0.14518760195758565,0.11,0.04,56.81818181818182
IN718,200.0,900.0,104.0,137.0,0.2222222222222222,0.317718293852762,0.11174551386623165,0.11,0.04,50.505050505050505
IN718,200.0,1000.0,112.0,105.0,0.2,0.3421581626106668,0.08564437194127243,0.11,0.04,45.45454545454545
IN718,200.0,1100.0,90.0,86.0,0.18181818181818182,0.2749485235264287,0.0701468189233279,0.11,0.04,41.32231404958678
IN718,200.0,400.0,168.0,258.0,0.5,0.5132372439160001,0.21044045676998369,0.11,0.04,113.63636363636364
IN718,200.0,500.0,136.0,259.0,0.4,0.4154777688843811,0.21125611745513867,0.11,0.04,90.9090909090909
IN718,200.0,600.0,178.0,223.0,0.3333333333333333,0.5437870798633812,0.18189233278955955,0.11,0.04,75.75757575757575
IN718,200.0,700.0,128.0,154.0,0.2857142857142857,0.3910379001264763,0.12561174551386622,0.11,0.04,64.93506493506493
IN718,200.0,800.0,150.0,111.0,0.25,0.4582475392107144,0.09053833605220228,0.11,0.04,56.81818181818182
IN718,200.0,900.0,118.0,137.0,0.2222222222222222,0.36048806417909535,0.11174551386623165,0.11,0.04,50.505050505050505
IN718,200.0,1000.0,106.0,127.0,0.2,0.3238282610422382,0.10358890701468189,0.11,0.04,45.45454545454545
IN718,200.0,1100.0,100.0,90.0,0.18181818181818182,0.3054983594738096,0.0734094616639478,0.11,0.04,41.32231404958678
IN718,200.0,400.0,186.0,254.0,0.5,0.5682269486212859,0.20717781402936378,0.11,0.04,113.63636363636364
IN718,200.0,500.0,166.0,234.0,0.4,0.507127276726524,0.19086460032626426,0.11,0.04,90.9090909090909
IN718,200.0,600.0,154.0,205.0,0.3333333333333333,0.47046747358966684,0.16721044045676997,0.11,0.04,75.75757575757575
IN718,200.0,700.0,146.0,189.0,0.2857142857142857,0.44602760483176207,0.15415986949429036,0.11,0.04,64.93506493506493
IN718,200.0,800.0,150.0,167.0,0.25,0.4582475392107144,0.1362153344208809,0.11,0.04,56.81818181818182
IN718,200.0,900.0,110.0,107.0,0.2222222222222222,0.3360481954211906,0.08727569331158239,0.11,0.04,50.505050505050505
IN718,200.0,1000.0,112.0,115.0,0.2,0.3421581626106668,0.09380097879282219,0.11,0.04,45.45454545454545
IN718,200.0,1100.0,92.0,77.0,0.18181818181818182,0.28105849071590483,0.06280587275693311,0.11,0.04,41.32231404958678
IN718,200.0,400.0,180.0,321.0,0.5,0.5498970470528574,0.26182707993474713,0.11,0.04,113.63636363636364
IN718,200.0,500.0,140.0,276.0,0.4,0.42769770326333345,0.22512234910277323,0.11,0.04,90.9090909090909
IN718,200.0,600.0,194.0,214.0,0.3333333333333333,0.5926668173791907,0.17455138662316477,0.11,0.04,75.75757575757575
IN718,200.0,700.0,142.0,205.0,0.2857142857142857,0.43380767045280966,0.16721044045676997,0.11,0.04,64.93506493506493
IN718,200.0,800.0,144.0,152.0,0.25,0.43991763764228586,0.12398042414355628,0.11,0.04,56.81818181818182
IN718,200.0,900.0,140.0,102.0,0.2222222222222222,0.42769770326333345,0.08319738988580751,0.11,0.04,50.505050505050505
IN718,200.0,1000.0,96.0,92.0,0.2,0.29327842509485724,0.07504078303425775,0.11,0.04,45.45454545454545
IN718,200.0,1100.0,84.0,53.0,0.18181818181818182,0.25661862195800006,0.0432300163132137,0.11,0.04,41.32231404958678
IN718,200.0,400.0,202.0,318.0,0.5,0.6171066861370954,0.25938009787928223,0.11,0.04,113.63636363636364
IN718,200.0,500.0,154.0,244.0,0.4,0.47046747358966684,0.19902120717781402,0.11,0.04,90.9090909090909
IN718,200.0,600.0,154.0,186.0,0.3333333333333333,0.47046747358966684,0.15171288743882544,0.11,0.04,75.75757575757575
IN718,200.0,700.0,140.0,196.0,0.2857142857142857,0.42769770326333345,0.1598694942903752,0.11,0.04,64.93506493506493
IN718,200.0,800.0,148.0,155.0,0.25,0.4521375720212382,0.1264274061990212,0.11,0.04,56.81818181818182
IN718,200.0,900.0,122.0,124.0,0.2222222222222222,0.37270799855804776,0.10114192495921696,0.11,0.04,50.505050505050505
IN718,200.0,1000.0,110.0,106.0,0.2,0.3360481954211906,0.0864600326264274,0.11,0.04,45.45454545454545
IN718,200.0,1100.0,104.0,75.0,0.18181818181818182,0.317718293852762,0.061174551386623165,0.11,0.04,41.32231404958678
IN718,200.0,400.0,184.0,355.0,0.5,0.5621169814318097,0.2895595432300163,0.11,0.04,113.63636363636364
IN718,200.0,500.0,140.0,265.0,0.4,0.42769770326333345,0.21615008156606852,0.11,0.04,90.9090909090909
IN718,200.0,600.0,148.0,219.0,0.3333333333333333,0.4521375720212382,0.17862969004893964,0.11,0.04,75.75757575757575
IN718,200.0,700.0,150.0,176.0,0.2857142857142857,0.4582475392107144,0.14355628058727568,0.11,0.04,64.93506493506493
IN718,200.0,800.0,132.0,140.0,0.25,0.4032578345054287,0.11419249592169657,0.11,0.04,56.81818181818182
IN718,200.0,900.0,128.0,127.0,0.2222222222222222,0.3910379001264763,0.10358890701468189,0.11,0.04,50.505050505050505
IN718,200.0,1000.0,110.0,104.0,0.2,0.3360481954211906,0.08482871125611746,0.11,0.04,45.45454545454545
IN718,200.0,1100.0,138.0,93.0,0.18181818181818182,0.4215877360738573,0.07585644371941272,0.11,0.04,41.32231404958678
IN718,200.0,400.0,198.0,303.0,0.5,0.6048867517581431,0.24714518760195758,0.11,0.04,113.63636363636364
IN718,200.0,500.0,176.0,281.0,0.4,0.5376771126739049,0.22920065252854813,0.11,0.04,90.9090909090909
IN718,200.0,600.0,192.0,251.0,0.3333333333333333,0.5865568501897145,0.20473083197389885,0.11,0.04,75.75757575757575
IN718,200.0,700.0,178.0,175.0,0.2857142857142857,0.5437870798633812,0.14274061990212072,0.11,0.04,64.93506493506493
IN718,200.0,800.0,150.0,161.0,0.25,0.4582475392107144,0.13132137030995106,0.11,0.04,56.81818181818182
IN718,200.0,900.0,140.0,128.0,0.2222222222222222,0.42769770326333345,0.10440456769983687,0.11,0.04,50.505050505050505
IN718,200.0,1000.0,128.0,105.0,0.2,0.3910379001264763,0.08564437194127243,0.11,0.04,45.45454545454545
IN718,200.0,1100.0,110.0,106.0,0.18181818181818182,0.3360481954211906,0.0864600326264274,0.11,0.04,41.32231404958678
IN718,200.0,400.0,190.0,346.0,0.5,0.5804468830002383,0.2822185970636215,0.11,0.04,113.63636363636364
IN718,200.0,500.0,176.0,299.0,0.4,0.5376771126739049,0.24388254486133767,0.11,0.04,90.9090909090909
IN718,200.0,600.0,150.0,236.0,0.3333333333333333,0.4582475392107144,0.19249592169657423,0.11,0.04,75.75757575757575
IN718,200.0,700.0,164.0,166.0,0.2857142857142857,0.5010173095370478,0.13539967373572595,0.11,0.04,64.93506493506493
IN718,200.0,800.0,148.0,143.0,0.25,0.4521375720212382,0.1166394779771615,0.11,0.04,56.81818181818182
IN718,200.0,900.0,112.0,145.0,0.2222222222222222,0.3421581626106668,0.11827079934747145,0.11,0.04,50.505050505050505
IN718,200.0,1000.0,100.0,101.0,0.2,0.3054983594738096,0.08238172920065252,0.11,0.04,45.45454545454545
IN718,200.0,1100.0,92.0,106.0,0.18181818181818182,0.28105849071590483,0.0864600326264274,0.11,0.04,41.32231404958678
IN718,200.0,400.0,186.0,326.0,0.5,0.5682269486212859,0.265905383360522,0.11,0.04,113.63636363636364
IN718,200.0,500.0,220.0,304.0,0.4,0.6720963908423812,0.24796084828711257,0.11,0.04,90.9090909090909
IN718,200.0,600.0,178.0,217.0,0.3333333333333333,0.5437870798633812,0.1769983686786297,0.11,0.04,75.75757575757575
IN718,200.0,700.0,158.0,162.0,0.2857142857142857,0.4826874079686192,0.13213703099510604,0.11,0.04,64.93506493506493
IN718,200.0,800.0,168.0,170.0,0.25,0.5132372439160001,0.13866231647634583,0.11,0.04,56.81818181818182
IN718,200.0,900.0,136.0,155.0,0.2222222222222222,0.4154777688843811,0.1264274061990212,0.11,0.04,50.505050505050505
IN718,200.0,1000.0,116.0,100.0,0.2,0.35437809698961914,0.08156606851549755,0.11,0.04,45.45454545454545
IN718,200.0,1100.0,112.0,112.0,0.18181818181818182,0.3421581626106668,0.09135399673735727,0.11,0.04,41.32231404958678
IN718,300.0,400.0,176.0,473.0,0.75,0.5376771126739049,0.38580750407830344,0.11,0.04,170.45454545454547
IN718,300.0,500.0,158.0,460.0,0.6,0.4826874079686192,0.37520391517128876,0.11,0.04,136.36363636363635
IN718,300.0,600.0,156.0,369.0,0.5,0.476577440779143,0.300978792822186,0.11,0.04,113.63636363636363
