Slice,Orientation (degrees),Power (W),Velocity (mm/s),Width (um),Depth (um),Cap (um)
4,225,370,1700,236.988,68.1,95.34
4,315,370,1300,222.006,211.11,27.24
4,315,370,1350,256.056,231.54,18.16
4,315,370,1400,272.4,162.078,47.67
4,315,370,1450,228.816,174.336,42.222
4,315,370,1500,217.92,179.784,43.584
4,315,370,1550,251.97,165.71,43.584
4,315,370,1600,200.214,129.39,51.756
4,315,370,1650,247.884,117.586,69.462
4,315,370,1700,227.454,99.426,42.222
5,0,370,1300,251.97,251.97,17.706
5,0,370,1350,254.694,264.228,20.43
5,0,370,1400,219.282,220.644,17.706
5,0,370,1450,220.644,224.73,24.516
5,0,370,1500,220.644,200.214,29.964
5,0,370,1550,209.748,183.87,55.842
5,0,370,1600,257.418,198.852,72.186
5,0,370,1650,177.06,168.888,95.34
5,0,370,1700,232.902,145.734,132.114
5,90,370,1300,238.35,236.988,9.534
5,90,370,1350,243.798,260.142,17.706
5,90,370,1400,200.214,217.92,23.154
5,90,370,1450,213.834,178.422,21.792
5,90,370,1500,217.92,209.748,27.24
5,90,370,1550,194.766,227.454,31.326
5,90,370,1600,219.282,214.288,51.756
5,90,370,1650,204.3,204.3,36.774
5,90,370,1700,200.214,148.458,42.222
5,180,370,1300,242.436,175.698,55.842
5,180,370,1350,242.436,160.716,54.026
5,180,370,1400,206.57,133.476,98.064
5,180,370,1450,222.46,101.696,76.272
5,180,370,1500,191.588,71.278,48.578
5,180,370,1550,205.662,96.702,59.474
5,180,370,1600,251.97,99.426,57.204
5,180,370,1650,196.128,133.476,80.358
5,180,370,1700,183.416,100.788,86.714
5,270,370,1300,241.074,147.096,40.86
5,270,370,1350,189.318,100.788,51.756
5,270,370,1400,228.816,108.96,50.394
5,270,370,1450,204.3,76.272,62.652
5,270,370,1500,181.146,69.462,38.136
5,270,370,1550,242.436,95.34,68.1
5,270,370,1600,200.214,93.978,51.756
5,270,370,1650,208.386,128.028,98.064
5,270,370,1700,205.208,80.358,51.756
5,45,370,1300,218.374,114.408,46.308
5,45,370,1350,253.332,69.462,75.364
5,45,370,1400,240.62,141.648,27.694
5,45,370,1450,226.092,159.354,40.86
5,45,370,1500,213.834,166.164,59.928
5,45,370,1550,243.798,143.01,55.842
5,45,370,1600,179.784,78.996,74.91
5,45,370,1650,205.208,143.01,57.204
5,45,370,1700,129.39,107.598,84.444
5,135,370,1300,213.834,175.698,42.222
5,135,370,1350,271.038,81.72,47.67
5,135,370,1400,227.454,99.426,59.928
5,135,370,1450,241.074,100.788,114.408
5,135,370,1500,202.938,65.376,42.222
5,135,370,1550,214.288,57.204,86.714
5,135,370,1600,200.668,91.254,38.136
5,135,370,1650,185.686,42.222,39.044
5,135,370,1700,201.576,72.64,76.272
5,225,370,1300,228.816,220.644,38.136
5,225,370,1350,213.834,156.63,42.222
5,225,370,1400,232.902,181.146,32.688
5,225,370,1450,223.368,133.476,66.738
5,225,370,1500,208.386,152.544,59.02
5,225,370,1550,198.852,121.218,60.382
5,225,370,1600,205.208,66.738,76.272
5,225,370,1650,242.436,51.756,72.186
5,225,370,1700,196.128,66.738,61.29
5,315,370,1300,275.124,209.748,27.24
5,315,370,1350,209.748,179.784,27.24
5,315,370,1400,206.116,142.556,19.976
5,315,370,1450,204.3,141.648,21.792
5,315,370,1500,241.074,175.698,51.756
5,315,370,1550,228.816,111.684,76.272
5,315,370,1600,251.97,152.544,74.91
5,315,370,1650,232.902,108.96,42.222
5,315,370,1700,194.766,100.788,65.376
6,0,370,1300,243.798,277.848,14.982
6,0,370,1350,294.192,213.834,23.154
6,0,370,1400,266.952,219.282,32.688
6,0,370,1450,230.632,210.202,32.688
6,0,370,1500,249.246,213.834,34.05
6,0,370,1550,234.264,205.662,43.584
6,0,370,1600,224.73,190.68,70.824
6,0,370,1650,232.902,182.054,114.862
6,0,370,1700,194.766,139.378,76.272
6,90,370,1300,266.952,281.934,13.62
6,90,370,1350,251.97,261.504,13.62
6,90,370,1400,290.106,295.554,38.136
6,90,370,1450,257.872,242.436,24.516
6,90,370,1500,228.816,228.816,38.136
6,90,370,1550,229.27,194.766,70.824
6,90,370,1600,205.662,157.992,58.566
6,90,370,1650,194.766,162.078,124.396
6,90,370,1700,205.662,157.992,104.874
6,180,370,1300,238.35,110.322,57.204
6,180,370,1350,200.668,95.794,104.42
6,180,370,1400,253.332,93.978,84.444
6,180,370,1450,213.834,80.358,91.254
6,180,370,1500,269.222,76.272,119.856
6,180,370,1550,167.98,104.874,47.67
6,180,370,1600,162.078,95.34,80.358
6,180,370,1650,242.436,103.512,80.358
6,180,370,1700,210.202,138.924,55.842
6,270,370,1300,228.816,125.304,46.308
6,270,370,1350,261.504,133.476,51.756
6,270,370,1400,232.902,172.066,104.874
6,270,370,1450,236.08,134.384,67.192
6,270,370,1500,271.492,153.906,65.376
6,270,370,1550,295.554,66.738,57.204
6,270,370,1600,198.852,209.748,57.204
6,270,370,1650,200.214,100.788,62.652
6,270,370,1700,151.182,162.078,89.892
6,45,370,1300,257.418,128.028,66.738
6,45,370,1350,238.35,151.182,57.204
6,45,370,1400,200.668,152.544,29.056
6,45,370,1450,238.35,123.942,47.67
6,45,370,1500,242.436,106.236,38.136
6,45,370,1550,213.834,99.426,53.118
6,45,370,1600,208.84,104.874,52.664
6,45,370,1650,261.504,128.028,89.892
6,45,370,1700,210.202,91.254,61.744
6,135,370,1300,267.86,95.34,48.124
6,135,370,1350,223.368,89.892,61.29
6,135,370,1400,227.454,113.046,71.278
6,135,370,1450,261.504,84.444,47.67
6,135,370,1500,209.748,91.254,58.112
6,135,370,1550,213.834,58.566,51.756
6,135,370,1600,213.834,47.67,66.738
6,135,370,1650,299.64,55.842,70.824
6,135,370,1700,223.368,103.512,57.204
6,225,370,1300,232.902,219.282,23.154
6,225,370,1350,246.522,157.992,57.204
6,225,370,1400,242.436,156.63,118.948
6,225,370,1450,275.578,108.96,48.578
6,225,370,1500,290.106,139.378,57.658
6,225,370,1550,271.038,123.942,70.824
6,225,370,1600,238.35,108.96,65.376
6,225,370,1650,185.232,166.164,47.67
6,225,370,1700,189.318,100.788,57.204
6,315,370,1300,242.436,223.368,29.964
6,315,370,1350,276.486,236.988,19.068
6,315,370,1400,251.97,179.784,57.204
6,315,370,1450,266.952,153.906,46.308
6,315,370,1500,223.368,172.974,38.136
6,315,370,1550,253.332,186.594,43.584
6,315,370,1600,219.282,119.856,66.738
6,315,370,1650,276.486,114.408,85.806
6,315,370,1700,247.884,76.272,42.222
